Rank,City,Country,Transport Type,Transport Cost,Accommodation Cost,Total Cost,Hotel Name,Rating,Distance from Center (km)
1,Krakow,Poland,flight,€53.61,€96.00,€149.61,Krakow Central Hotel,4.0,0.5
2,Budapest,Hungary,flight,€59.29,€108.00,€167.29,Budapest Central Hotel,4.0,0.5
3,Prague,Czech Republic,flight,€69.77,€120.00,€189.77,Prague Central Hotel,4.0,0.5
4,Porto,Portugal,flight,€80.45,€132.00,€212.45,Porto Central Hotel,4.0,0.5
5,Valencia,Spain,flight,€80.22,€144.00,€224.22,Valencia Central Hotel,4.0,0.5
6,Brussels,Belgium,flight,€56.79,€168.00,€224.79,Brussels Central Hotel,4.0,0.5
7,Berlin,Germany,flight,€70.13,€156.00,€226.13,Berlin Central Hotel,4.0,0.5
8,Seville,Spain,flight,€83.59,€156.00,€239.59,Seville Central Hotel,4.0,0.5
9,Lisbon,Portugal,flight,€95.89,€144.00,€239.89,Lisbon Central Hotel,4.0,0.5
10,Brussels,Belgium,train,€80.00,€168.00,€248.00,Brussels Central Hotel,4.0,0.5
